-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: latitude  10.3844   longitude -73.1733 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1031.16 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,DOY,PRECTOTCORR
2024,1,0.01
2024,2,0.0
2024,3,0.0
2024,4,0.0
2024,5,0.0
2024,6,0.0
2024,7,0.0
2024,8,0.0
2024,9,0.0
2024,10,0.0
2024,11,0.0
2024,12,0.0
2024,13,0.0
2024,14,0.0
2024,15,0.0
2024,16,0.0
2024,17,0.0
2024,18,0.0
2024,19,0.0
2024,20,0.0
2024,21,0.0
2024,22,0.0
2024,23,0.0
2024,24,0.0
2024,25,0.0
2024,26,0.0
2024,27,0.0
2024,28,0.0
2024,29,0.0
2024,30,0.0
2024,31,0.0
2024,32,0.0
2024,33,0.05
2024,34,35.06
2024,35,2.09
2024,36,3.2
2024,37,0.75
2024,38,0.79
2024,39,0.08
2024,40,0.0
2024,41,0.0
2024,42,0.0
2024,43,0.0
2024,44,0.0
2024,45,0.0
2024,46,0.0
2024,47,0.0
2024,48,0.0
2024,49,0.59
2024,50,0.65
2024,51,0.0
2024,52,0.0
2024,53,0.0
2024,54,0.0
2024,55,0.0
2024,56,0.0
2024,57,0.0
2024,58,0.0
2024,59,0.0
2024,60,0.0
2024,61,0.0
2024,62,0.0
2024,63,0.0
2024,64,0.0
2024,65,0.0
2024,66,0.0
2024,67,0.0
2024,68,0.0
2024,69,0.0
2024,70,0.02
2024,71,0.04
2024,72,0.0
2024,73,0.0
2024,74,0.0
2024,75,0.0
2024,76,0.0
2024,77,0.0
2024,78,0.0
2024,79,0.0
2024,80,1.3
2024,81,0.14
2024,82,0.0
2024,83,0.0
2024,84,0.0
2024,85,0.0
2024,86,0.05
2024,87,0.08
2024,88,0.17
2024,89,0.02
2024,90,0.0
2024,91,0.0
2024,92,0.0
2024,93,0.0
2024,94,0.0
2024,95,0.33
2024,96,0.25
2024,97,0.09
2024,98,0.0
2024,99,3.24
2024,100,1.09
2024,101,0.0
2024,102,0.0
2024,103,0.0
2024,104,0.0
2024,105,0.0
2024,106,0.0
2024,107,0.0
2024,108,1.07
2024,109,0.36
2024,110,4.97
2024,111,1.53
2024,112,1.98
2024,113,13.96
2024,114,4.42
2024,115,0.04
2024,116,0.0
2024,117,0.05
2024,118,0.54
2024,119,3.21
2024,120,1.47
2024,121,0.27
2024,122,0.06
2024,123,0.0
2024,124,2.17
2024,125,1.53
2024,126,18.23
2024,127,11.5
2024,128,3.29
2024,129,3.25
2024,130,5.43
2024,131,9.9
2024,132,7.51
2024,133,0.19
2024,134,0.0
2024,135,0.01
2024,136,0.0
2024,137,2.91
2024,138,4.96
2024,139,2.91
2024,140,0.0
2024,141,120.68
2024,142,93.12
2024,143,11.79
2024,144,3.19
2024,145,14.8
2024,146,1.98
2024,147,0.44
2024,148,0.33
2024,149,12.46
2024,150,101.53
2024,151,4.19
2024,152,0.08
2024,153,31.17
2024,154,16.15
2024,155,37.78
2024,156,4.63
2024,157,0.1
2024,158,3.52
2024,159,1.79
2024,160,0.13
2024,161,8.83
2024,162,0.66
2024,163,0.07
2024,164,14.8
2024,165,10.07
2024,166,5.73
2024,167,11.15
2024,168,0.94
2024,169,0.01
2024,170,16.48
2024,171,2.23
2024,172,0.0
2024,173,0.33
2024,174,2.35
2024,175,24.84
2024,176,16.42
2024,177,3.52
2024,178,3.14
2024,179,0.76
2024,180,0.34
2024,181,1.0
2024,182,4.27
2024,183,0.29
2024,184,0.45
2024,185,6.28
2024,186,3.92
2024,187,6.14
2024,188,1.81
2024,189,0.06
2024,190,0.05
2024,191,0.0
2024,192,0.0
2024,193,0.0
2024,194,0.31
2024,195,0.09
2024,196,0.0
2024,197,0.0
2024,198,0.0
2024,199,2.94
2024,200,0.56
2024,201,17.42
2024,202,3.46
2024,203,0.0
2024,204,7.0
2024,205,17.53
2024,206,1.05
2024,207,0.22
2024,208,1.0
2024,209,0.9
2024,210,0.0
2024,211,0.0
2024,212,0.0
2024,213,0.0
2024,214,7.4
2024,215,6.89
2024,216,4.65
2024,217,2.61
2024,218,0.95
2024,219,1.99
2024,220,2.2
2024,221,0.26
2024,222,0.0
2024,223,0.0
2024,224,0.56
2024,225,1.69
2024,226,1.19
2024,227,0.06
2024,228,0.0
2024,229,0.79
2024,230,0.41
2024,231,1.44
2024,232,4.24
2024,233,3.31
2024,234,0.21
2024,235,0.09
2024,236,0.21
2024,237,0.69
2024,238,1.5
2024,239,0.79
2024,240,0.36
2024,241,0.1
2024,242,0.0
2024,243,0.0
2024,244,0.1
2024,245,1.0
2024,246,0.41
2024,247,27.6
2024,248,8.55
2024,249,0.34
2024,250,0.54
2024,251,0.09
2024,252,4.7
2024,253,1.08
2024,254,0.08
2024,255,0.0
2024,256,2.73
2024,257,2.71
2024,258,0.19
2024,259,0.87
2024,260,29.84
2024,261,5.59
2024,262,0.0
2024,263,0.0
2024,264,4.43
2024,265,6.3
2024,266,1.71
2024,267,13.29
2024,268,6.37
2024,269,4.95
2024,270,2.37
2024,271,1.15
2024,272,1.75
2024,273,1.83
2024,274,0.43
2024,275,0.37
2024,276,0.58
2024,277,5.99
2024,278,10.19
2024,279,2.11
2024,280,26.17
2024,281,3.47
2024,282,2.1
2024,283,2.73
2024,284,2.66
